Sample,Time,Decoder,Ann Row,Ann Class,Value,
249398,2.494 ms,SPI,MOSI data,MOSI data,2A,
249814,2.498 ms,SPI,MOSI data,MOSI data,00,
250198,2.502 ms,SPI,MOSI data,MOSI data,32,
250614,2.506 ms,SPI,MOSI data,MOSI data,00,
250998,2.510 ms,SPI,MOSI data,MOSI data,39,
251414,2.514 ms,SPI,MOSI data,MOSI data,2B,
251830,2.518 ms,SPI,MOSI data,MOSI data,00,
252214,2.522 ms,SPI,MOSI data,MOSI data,32,
252630,2.526 ms,SPI,MOSI data,MOSI data,00,
253014,2.530 ms,SPI,MOSI data,MOSI data,39,
253430,2.534 ms,SPI,MOSI data,MOSI data,2C,
253948,2.539 ms,SPI,MOSI data,MOSI data,FF,
254204,2.542 ms,SPI,MOSI data,MOSI data,E0,
254460,2.545 ms,SPI,MOSI data,MOSI data,FF,
254716,2.547 ms,SPI,MOSI data,MOSI data,E0,
254972,2.550 ms,SPI,MOSI data,MOSI data,FF,
255228,2.552 ms,SPI,MOSI data,MOSI data,E0,
255484,2.555 ms,SPI,MOSI data,MOSI data,FF,
255740,2.557 ms,SPI,MOSI data,MOSI data,E0,
255996,2.560 ms,SPI,MOSI data,MOSI data,FF,
256252,2.563 ms,SPI,MOSI data,MOSI data,E0,
256508,2.565 ms,SPI,MOSI data,MOSI data,FF,
256764,2.568 ms,SPI,MOSI data,MOSI data,E0,
257020,2.570 ms,SPI,MOSI data,MOSI data,FF,
257276,2.573 ms,SPI,MOSI data,MOSI data,E0,
257532,2.575 ms,SPI,MOSI data,MOSI data,FF,
257788,2.578 ms,SPI,MOSI data,MOSI data,E0,
258044,2.580 ms,SPI,MOSI data,MOSI data,FF,
258300,2.583 ms,SPI,MOSI data,MOSI data,E0,
258556,2.586 ms,SPI,MOSI data,MOSI data,FF,
258812,2.588 ms,SPI,MOSI data,MOSI data,E0,
259068,2.591 ms,SPI,MOSI data,MOSI data,FF,
259324,2.593 ms,SPI,MOSI data,MOSI data,E0,
259580,2.596 ms,SPI,MOSI data,MOSI data,FF,
259836,2.598 ms,SPI,MOSI data,MOSI data,E0,
260092,2.601 ms,SPI,MOSI data,MOSI data,FF,
260348,2.603 ms,SPI,MOSI data,MOSI data,E0,
260604,2.606 ms,SPI,MOSI data,MOSI data,FF,
260860,2.609 ms,SPI,MOSI data,MOSI data,E0,
261116,2.611 ms,SPI,MOSI data,MOSI data,FF,
261372,2.614 ms,SPI,MOSI data,MOSI data,E0,
261628,2.616 ms,SPI,MOSI data,MOSI data,FF,
261884,2.619 ms,SPI,MOSI data,MOSI data,E0,
262140,2.621 ms,SPI,MOSI data,MOSI data,FF,
262396,2.624 ms,SPI,MOSI data,MOSI data,E0,
262652,2.627 ms,SPI,MOSI data,MOSI data,FF,
262908,2.629 ms,SPI,MOSI data,MOSI data,E0,
263164,2.632 ms,SPI,MOSI data,MOSI data,FF,
263420,2.634 ms,SPI,MOSI data,MOSI data,E0,
263676,2.637 ms,SPI,MOSI data,MOSI data,FF,
263932,2.639 ms,SPI,MOSI data,MOSI data,E0,
264188,2.642 ms,SPI,MOSI data,MOSI data,FF,
264444,2.644 ms,SPI,MOSI data,MOSI data,E0,
264700,2.647 ms,SPI,MOSI data,MOSI data,FF,
264956,2.650 ms,SPI,MOSI data,MOSI data,E0,
265212,2.652 ms,SPI,MOSI data,MOSI data,FF,
265468,2.655 ms,SPI,MOSI data,MOSI data,E0,
265724,2.657 ms,SPI,MOSI data,MOSI data,FF,
265980,2.660 ms,SPI,MOSI data,MOSI data,E0,
266236,2.662 ms,SPI,MOSI data,MOSI data,FF,
266492,2.665 ms,SPI,MOSI data,MOSI data,E0,
266748,2.667 ms,SPI,MOSI data,MOSI data,FF,
267004,2.670 ms,SPI,MOSI data,MOSI data,E0,
267260,2.673 ms,SPI,MOSI data,MOSI data,FF,
267516,2.675 ms,SPI,MOSI data,MOSI data,E0,
267772,2.678 ms,SPI,MOSI data,MOSI data,FF,
268028,2.680 ms,SPI,MOSI data,MOSI data,E0,
268284,2.683 ms,SPI,MOSI data,MOSI data,FF,
268540,2.685 ms,SPI,MOSI data,MOSI data,E0,
268796,2.688 ms,SPI,MOSI data,MOSI data,FF,
269052,2.691 ms,SPI,MOSI data,MOSI data,E0,
269308,2.693 ms,SPI,MOSI data,MOSI data,FF,
269564,2.696 ms,SPI,MOSI data,MOSI data,E0,
269820,2.698 ms,SPI,MOSI data,MOSI data,FF,
270076,2.701 ms,SPI,MOSI data,MOSI data,E0,
270332,2.703 ms,SPI,MOSI data,MOSI data,FF,
270588,2.706 ms,SPI,MOSI data,MOSI data,E0,
270844,2.708 ms,SPI,MOSI data,MOSI data,FF,
271100,2.711 ms,SPI,MOSI data,MOSI data,E0,
271356,2.714 ms,SPI,MOSI data,MOSI data,FF,
271612,2.716 ms,SPI,MOSI data,MOSI data,E0,
271868,2.719 ms,SPI,MOSI data,MOSI data,FF,
272124,2.721 ms,SPI,MOSI data,MOSI data,E0,
