Sample,Time,Decoder,Ann Row,Ann Class,Value,
249186,2.492 ms,SPI,MOSI data,MOSI data,2A,
249602,2.496 ms,SPI,MOSI data,MOSI data,00,
249986,2.500 ms,SPI,MOSI data,MOSI data,32,
250402,2.504 ms,SPI,MOSI data,MOSI data,00,
250786,2.508 ms,SPI,MOSI data,MOSI data,39,
251202,2.512 ms,SPI,MOSI data,MOSI data,2B,
251618,2.516 ms,SPI,MOSI data,MOSI data,00,
252002,2.520 ms,SPI,MOSI data,MOSI data,32,
252418,2.524 ms,SPI,MOSI data,MOSI data,00,
252802,2.528 ms,SPI,MOSI data,MOSI data,39,
253218,2.532 ms,SPI,MOSI data,MOSI data,2C,
253746,2.537 ms,SPI,MOSI data,MOSI data,FF,
254002,2.540 ms,SPI,MOSI data,MOSI data,E0,
254258,2.543 ms,SPI,MOSI data,MOSI data,FF,
254514,2.545 ms,SPI,MOSI data,MOSI data,E0,
254770,2.548 ms,SPI,MOSI data,MOSI data,FF,
255026,2.550 ms,SPI,MOSI data,MOSI data,E0,
255282,2.553 ms,SPI,MOSI data,MOSI data,FF,
255538,2.555 ms,SPI,MOSI data,MOSI data,E0,
255794,2.558 ms,SPI,MOSI data,MOSI data,FF,
256050,2.560 ms,SPI,MOSI data,MOSI data,E0,
256306,2.563 ms,SPI,MOSI data,MOSI data,F8,
256562,2.566 ms,SPI,MOSI data,MOSI data,00,
256818,2.568 ms,SPI,MOSI data,MOSI data,F8,
257074,2.571 ms,SPI,MOSI data,MOSI data,00,
257330,2.573 ms,SPI,MOSI data,MOSI data,F8,
257586,2.576 ms,SPI,MOSI data,MOSI data,00,
257842,2.578 ms,SPI,MOSI data,MOSI data,F8,
258098,2.581 ms,SPI,MOSI data,MOSI data,00,
258354,2.584 ms,SPI,MOSI data,MOSI data,F8,
258610,2.586 ms,SPI,MOSI data,MOSI data,00,
258866,2.589 ms,SPI,MOSI data,MOSI data,F8,
259122,2.591 ms,SPI,MOSI data,MOSI data,00,
259378,2.594 ms,SPI,MOSI data,MOSI data,F8,
259634,2.596 ms,SPI,MOSI data,MOSI data,00,
259890,2.599 ms,SPI,MOSI data,MOSI data,F8,
260146,2.601 ms,SPI,MOSI data,MOSI data,00,
260402,2.604 ms,SPI,MOSI data,MOSI data,F8,
260658,2.607 ms,SPI,MOSI data,MOSI data,00,
260914,2.609 ms,SPI,MOSI data,MOSI data,F8,
261170,2.612 ms,SPI,MOSI data,MOSI data,00,
261426,2.614 ms,SPI,MOSI data,MOSI data,F8,
261682,2.617 ms,SPI,MOSI data,MOSI data,00,
261938,2.619 ms,SPI,MOSI data,MOSI data,F8,
262194,2.622 ms,SPI,MOSI data,MOSI data,00,
262450,2.625 ms,SPI,MOSI data,MOSI data,F8,
262706,2.627 ms,SPI,MOSI data,MOSI data,00,
262962,2.630 ms,SPI,MOSI data,MOSI data,F8,
263218,2.632 ms,SPI,MOSI data,MOSI data,00,
263474,2.635 ms,SPI,MOSI data,MOSI data,F8,
263730,2.637 ms,SPI,MOSI data,MOSI data,00,
263986,2.640 ms,SPI,MOSI data,MOSI data,F8,
264242,2.642 ms,SPI,MOSI data,MOSI data,00,
264498,2.645 ms,SPI,MOSI data,MOSI data,F8,
264754,2.648 ms,SPI,MOSI data,MOSI data,00,
265010,2.650 ms,SPI,MOSI data,MOSI data,F8,
265266,2.653 ms,SPI,MOSI data,MOSI data,00,
265522,2.655 ms,SPI,MOSI data,MOSI data,F8,
265778,2.658 ms,SPI,MOSI data,MOSI data,00,
266034,2.660 ms,SPI,MOSI data,MOSI data,F8,
266290,2.663 ms,SPI,MOSI data,MOSI data,00,
266546,2.665 ms,SPI,MOSI data,MOSI data,F8,
266802,2.668 ms,SPI,MOSI data,MOSI data,00,
267058,2.671 ms,SPI,MOSI data,MOSI data,F8,
267314,2.673 ms,SPI,MOSI data,MOSI data,00,
267570,2.676 ms,SPI,MOSI data,MOSI data,F8,
267826,2.678 ms,SPI,MOSI data,MOSI data,00,
268082,2.681 ms,SPI,MOSI data,MOSI data,F8,
268338,2.683 ms,SPI,MOSI data,MOSI data,00,
268594,2.686 ms,SPI,MOSI data,MOSI data,F8,
268850,2.688 ms,SPI,MOSI data,MOSI data,00,
269106,2.691 ms,SPI,MOSI data,MOSI data,F8,
269362,2.694 ms,SPI,MOSI data,MOSI data,00,
269618,2.696 ms,SPI,MOSI data,MOSI data,F8,
269874,2.699 ms,SPI,MOSI data,MOSI data,00,
270130,2.701 ms,SPI,MOSI data,MOSI data,F8,
270386,2.704 ms,SPI,MOSI data,MOSI data,00,
270642,2.706 ms,SPI,MOSI data,MOSI data,F8,
270898,2.709 ms,SPI,MOSI data,MOSI data,00,
271154,2.712 ms,SPI,MOSI data,MOSI data,F8,
271410,2.714 ms,SPI,MOSI data,MOSI data,00,
271666,2.717 ms,SPI,MOSI data,MOSI data,F8,
271922,2.719 ms,SPI,MOSI data,MOSI data,00,
272178,2.722 ms,SPI,MOSI data,MOSI data,F8,
272434,2.724 ms,SPI,MOSI data,MOSI data,00,
272690,2.727 ms,SPI,MOSI data,MOSI data,F8,
272946,2.729 ms,SPI,MOSI data,MOSI data,00,
273202,2.732 ms,SPI,MOSI data,MOSI data,F8,
273458,2.735 ms,SPI,MOSI data,MOSI data,00,
273714,2.737 ms,SPI,MOSI data,MOSI data,F8,
273970,2.740 ms,SPI,MOSI data,MOSI data,00,
274226,2.742 ms,SPI,MOSI data,MOSI data,F8,
274482,2.745 ms,SPI,MOSI data,MOSI data,00,
274738,2.747 ms,SPI,MOSI data,MOSI data,F8,
274994,2.750 ms,SPI,MOSI data,MOSI data,00,
275250,2.753 ms,SPI,MOSI data,MOSI data,F8,
275506,2.755 ms,SPI,MOSI data,MOSI data,00,
275762,2.758 ms,SPI,MOSI data,MOSI data,F8,
276018,2.760 ms,SPI,MOSI data,MOSI data,00,
276274,2.763 ms,SPI,MOSI data,MOSI data,F8,
276530,2.765 ms,SPI,MOSI data,MOSI data,00,
276786,2.768 ms,SPI,MOSI data,MOSI data,F8,
277042,2.770 ms,SPI,MOSI data,MOSI data,00,
277298,2.773 ms,SPI,MOSI data,MOSI data,F8,
277554,2.776 ms,SPI,MOSI data,MOSI data,00,
277810,2.778 ms,SPI,MOSI data,MOSI data,F8,
278066,2.781 ms,SPI,MOSI data,MOSI data,00,
278322,2.783 ms,SPI,MOSI data,MOSI data,F8,
278578,2.786 ms,SPI,MOSI data,MOSI data,00,
278834,2.788 ms,SPI,MOSI data,MOSI data,F8,
279090,2.791 ms,SPI,MOSI data,MOSI data,00,
279346,2.793 ms,SPI,MOSI data,MOSI data,F8,
279602,2.796 ms,SPI,MOSI data,MOSI data,00,
279858,2.799 ms,SPI,MOSI data,MOSI data,F8,
280114,2.801 ms,SPI,MOSI data,MOSI data,00,
280370,2.804 ms,SPI,MOSI data,MOSI data,F8,
280626,2.806 ms,SPI,MOSI data,MOSI data,00,
280882,2.809 ms,SPI,MOSI data,MOSI data,F8,
281138,2.811 ms,SPI,MOSI data,MOSI data,00,
281394,2.814 ms,SPI,MOSI data,MOSI data,F8,
281650,2.816 ms,SPI,MOSI data,MOSI data,00,
281906,2.819 ms,SPI,MOSI data,MOSI data,F8,
282162,2.822 ms,SPI,MOSI data,MOSI data,00,
282418,2.824 ms,SPI,MOSI data,MOSI data,F8,
282674,2.827 ms,SPI,MOSI data,MOSI data,00,
282930,2.829 ms,SPI,MOSI data,MOSI data,F8,
283186,2.832 ms,SPI,MOSI data,MOSI data,00,
283442,2.834 ms,SPI,MOSI data,MOSI data,F8,
283698,2.837 ms,SPI,MOSI data,MOSI data,00,
283954,2.840 ms,SPI,MOSI data,MOSI data,F8,
284210,2.842 ms,SPI,MOSI data,MOSI data,00,
284466,2.845 ms,SPI,MOSI data,MOSI data,F8,
284722,2.847 ms,SPI,MOSI data,MOSI data,00,
284978,2.850 ms,SPI,MOSI data,MOSI data,F8,
285234,2.852 ms,SPI,MOSI data,MOSI data,00,
285726,2.857 ms,SPI,MOSI data,MOSI data,2A,
286142,2.861 ms,SPI,MOSI data,MOSI data,00,
286526,2.865 ms,SPI,MOSI data,MOSI data,5A,
286942,2.869 ms,SPI,MOSI data,MOSI data,00,
287326,2.873 ms,SPI,MOSI data,MOSI data,61,
287742,2.877 ms,SPI,MOSI data,MOSI data,2B,
288158,2.882 ms,SPI,MOSI data,MOSI data,00,
288542,2.885 ms,SPI,MOSI data,MOSI data,5A,
288958,2.890 ms,SPI,MOSI data,MOSI data,00,
289342,2.893 ms,SPI,MOSI data,MOSI data,61,
289758,2.898 ms,SPI,MOSI data,MOSI data,2C,
290283,2.903 ms,SPI,MOSI data,MOSI data,F8,
290539,2.905 ms,SPI,MOSI data,MOSI data,00,
290795,2.908 ms,SPI,MOSI data,MOSI data,F8,
291051,2.911 ms,SPI,MOSI data,MOSI data,00,
291307,2.913 ms,SPI,MOSI data,MOSI data,F8,
291563,2.916 ms,SPI,MOSI data,MOSI data,00,
291819,2.918 ms,SPI,MOSI data,MOSI data,F8,
292075,2.921 ms,SPI,MOSI data,MOSI data,00,
292331,2.923 ms,SPI,MOSI data,MOSI data,00,
292587,2.926 ms,SPI,MOSI data,MOSI data,1F,
292843,2.928 ms,SPI,MOSI data,MOSI data,00,
293099,2.931 ms,SPI,MOSI data,MOSI data,1F,
293355,2.934 ms,SPI,MOSI data,MOSI data,00,
293611,2.936 ms,SPI,MOSI data,MOSI data,1F,
293867,2.939 ms,SPI,MOSI data,MOSI data,00,
294123,2.941 ms,SPI,MOSI data,MOSI data,1F,
294379,2.944 ms,SPI,MOSI data,MOSI data,00,
294635,2.946 ms,SPI,MOSI data,MOSI data,1F,
294891,2.949 ms,SPI,MOSI data,MOSI data,00,
295147,2.951 ms,SPI,MOSI data,MOSI data,1F,
295403,2.954 ms,SPI,MOSI data,MOSI data,00,
295659,2.957 ms,SPI,MOSI data,MOSI data,1F,
295915,2.959 ms,SPI,MOSI data,MOSI data,00,
296171,2.962 ms,SPI,MOSI data,MOSI data,1F,
296427,2.964 ms,SPI,MOSI data,MOSI data,00,
296683,2.967 ms,SPI,MOSI data,MOSI data,1F,
296939,2.969 ms,SPI,MOSI data,MOSI data,00,
297195,2.972 ms,SPI,MOSI data,MOSI data,1F,
297451,2.975 ms,SPI,MOSI data,MOSI data,00,
297707,2.977 ms,SPI,MOSI data,MOSI data,1F,
297963,2.980 ms,SPI,MOSI data,MOSI data,00,
298219,2.982 ms,SPI,MOSI data,MOSI data,1F,
298475,2.985 ms,SPI,MOSI data,MOSI data,00,
298731,2.987 ms,SPI,MOSI data,MOSI data,1F,
298987,2.990 ms,SPI,MOSI data,MOSI data,00,
299243,2.992 ms,SPI,MOSI data,MOSI data,1F,
299499,2.995 ms,SPI,MOSI data,MOSI data,00,
299755,2.998 ms,SPI,MOSI data,MOSI data,1F,
300011,3.000 ms,SPI,MOSI data,MOSI data,00,
300267,3.003 ms,SPI,MOSI data,MOSI data,1F,
300523,3.005 ms,SPI,MOSI data,MOSI data,00,
300779,3.008 ms,SPI,MOSI data,MOSI data,1F,
301035,3.010 ms,SPI,MOSI data,MOSI data,00,
301291,3.013 ms,SPI,MOSI data,MOSI data,1F,
301547,3.015 ms,SPI,MOSI data,MOSI data,00,
301803,3.018 ms,SPI,MOSI data,MOSI data,1F,
302059,3.021 ms,SPI,MOSI data,MOSI data,00,
302315,3.023 ms,SPI,MOSI data,MOSI data,1F,
302571,3.026 ms,SPI,MOSI data,MOSI data,00,
302827,3.028 ms,SPI,MOSI data,MOSI data,1F,
303083,3.031 ms,SPI,MOSI data,MOSI data,00,
303339,3.033 ms,SPI,MOSI data,MOSI data,1F,
303595,3.036 ms,SPI,MOSI data,MOSI data,00,
303851,3.039 ms,SPI,MOSI data,MOSI data,1F,
304107,3.041 ms,SPI,MOSI data,MOSI data,00,
304363,3.044 ms,SPI,MOSI data,MOSI data,1F,
304619,3.046 ms,SPI,MOSI data,MOSI data,00,
304875,3.049 ms,SPI,MOSI data,MOSI data,1F,
305131,3.051 ms,SPI,MOSI data,MOSI data,00,
305387,3.054 ms,SPI,MOSI data,MOSI data,1F,
305643,3.056 ms,SPI,MOSI data,MOSI data,00,
305899,3.059 ms,SPI,MOSI data,MOSI data,1F,
306155,3.062 ms,SPI,MOSI data,MOSI data,00,
306411,3.064 ms,SPI,MOSI data,MOSI data,1F,
306667,3.067 ms,SPI,MOSI data,MOSI data,00,
306923,3.069 ms,SPI,MOSI data,MOSI data,1F,
307179,3.072 ms,SPI,MOSI data,MOSI data,00,
307435,3.074 ms,SPI,MOSI data,MOSI data,1F,
307691,3.077 ms,SPI,MOSI data,MOSI data,00,
307947,3.079 ms,SPI,MOSI data,MOSI data,1F,
308203,3.082 ms,SPI,MOSI data,MOSI data,00,
308459,3.085 ms,SPI,MOSI data,MOSI data,1F,
308715,3.087 ms,SPI,MOSI data,MOSI data,00,
308971,3.090 ms,SPI,MOSI data,MOSI data,1F,
